Conditions,flow_rate,precipitation,depth1,depth2,depth3,depth4
1a.1,12.21,0,0.864,0,0,0
1a.1,12.32130181,0.058079465,0.861,0,0,0
1a.1,12.54357224,0.059039457,0.861,0,0,0
1a.1,12.76539989,0.059519452,0.861,0,0,0
1a.1,12.98678654,0.060479443,0.86,0,0,0
1a.1,13.20773393,0.061439435,0.86,0,0,0
1a.1,13.42924381,0.062399426,0.86,0,0,0
1a.1,13.64931788,0.063359417,0.86,0,0,0
1a.1,13.86995789,0.064319408,0.86,0,0,0
1a.1,14.08916554,0.065279399,0.861,0,0,0
1a.1,14.30894252,0.06623939,0.861,0,0,0
1a.1,14.52829053,0.067199382,0.862,0,0,0
1a.1,14.74721124,0.068639368,0.862,0,0,0
1a.1,14.96670633,0.069599359,0.863,0,0,0
1a.1,15.18477744,0.071039346,0.864,0,0,0
1a.1,15.40342624,0.071999337,0.866,0,0,0
1a.1,15.62065437,0.073439324,0.867,0,0,0
1a.1,15.83846344,0.074879311,0.869,0,0,0
1a.1,16.05585509,0.076319298,0.87,0,0,0
1a.1,16.27283093,0.077759284,0.872,0,0,0
1a.1,16.48939255,0.079199271,0.874,0,0,0
1a.1,16.70554155,0.081119253,0.876,0,0,0
1a.1,16.92227952,0.08255924,0.879,0,0,0
1a.1,17.13860803,0.084479223,0.881,0,0,0
1a.1,17.35552865,0.086399205,0.884,0,0,0
1a.1,17.57204293,0.088319187,0.886,0,0,0
1a.1,17.79015242,0.090719165,0.889,0,0,0
1a.1,18.00885866,0.093119143,0.892,0,0,0
1a.1,18.23016317,0.095519121,0.896,0,0,0
1a.1,18.4520675,0.097919099,0.899,0,0,0
1a.1,18.67957313,0.100799072,0.902,0,0,0
1a.1,18.91168159,0.103679046,0.906,0,0,0
1a.1,19.14839436,0.107039015,0.909,0,0,0
1a.1,19.39071293,0.110398984,0.913,0,0,0
1a.1,19.63963878,0.113758953,0.917,0,0,0
1a.1,19.89817339,0.117598918,0.921,0,0,0
1a.1,20.16931822,0.121918878,0.926,0,0,0
1a.1,20.46007471,0.126718834,0.93,0,0,0
1a.1,20.77844432,0.13151879,0.934,0,0,0
1a.1,21.13142848,0.137278737,0.939,0,0,0
1a.1,21.52102863,0.143518679,0.944,0,0,0
1a.1,21.94224619,0.150238617,0.948,0,0,0
1a.1,22.37808256,0.157918547,0.953,0,0,0
1a.1,22.80053917,0.166078472,0.958,0,0,0
1a.1,23.1886174,0.175678383,0.964,0,0,0
1a.1,23.53131865,0.187198277,0.969,0,0,0
1a.1,23.8326443,0.199678162,0.975,0,0,0
1a.1,24.09959573,0.214558025,0.98,0,0,0
1a.1,24.3341743,0.232797858,0.986,0,0,0
1a.1,24.53938138,0.254397659,0.992,0,0,0
1a.1,24.72421831,0.280797416,0.999,0,0,0
1a.1,24.89368646,0.314877102,1.005,0,0,0
1a.1,25.05078714,0.359516691,1.012,0,0,0
1a.1,25.19652171,0.420956126,1.018,0,0,0
1a.1,25.33389147,0.5107153,1.024,0,0,0
1a.1,25.46789775,0.65519397,1.031,0,0,0
1a.1,25.60654185,0.92255151,1.037,0,0,0
1a.1,25.75582509,1.572465529,1.043,0,0,0
1a.1,25.91874875,3.490047881,1.05,0,0,0
1a.1,26.09531412,2.312138721,1.056,0,0,0
1a.1,26.28552249,1.383827265,1.062,0,0,0
1a.1,26.48737513,0.981590966,1.068,0,0,0
1a.1,26.6978733,0.761272994,1.075,0,0,0
1a.1,26.91601828,0.623034266,1.081,0,0,0
1a.1,27.13581131,0.528475136,1.087,0,0,0
1a.1,27.35625365,0.460315764,1.093,0,0,0
1a.1,27.57334653,0.408476241,1.1,0,0,0
1a.1,27.78609119,0.368156612,1.106,0,0,0
1a.1,27.99348885,0.335036917,1.112,0,0,0
1a.1,28.19454075,0.308157164,1.118,0,0,0
1a.1,28.39024809,0.286077367,1.124,0,0,0
1a.1,28.57961209,0.266877544,1.13,0,0,0
1a.1,28.76363394,0.250077699,1.136,0,0,0
1a.1,28.94231484,0.235677831,1.142,0,0,0
1a.1,29.11765598,0.223197946,1.148,0,0,0
1a.1,29.28865856,0.212158048,1.154,0,0,0
1a.1,29.45732373,0.20207814,1.16,0,0,0
1a.1,29.62265268,0.192958224,1.166,0,0,0
1a.1,29.78564658,0.184798299,1.172,0,0,0
1a.1,29.94730657,0.177598366,1.178,0,0,0
1a.1,30.10563382,0.170878427,1.184,0,0,0
1a.1,30.26362946,0.164638485,1.19,0,0,0
1a.1,30.41829465,0.158878538,1.195,0,0,0
1a.1,30.57163052,0.153598586,1.201,0,0,0
1a.1,30.7236382,0.148798631,1.207,0,0,0
1a.1,30.87431881,0.14447867,1.212,0,0,0
1a.1,31.02267347,0.14015871,1.218,0,0,0
1a.1,31.17170329,0.136318745,1.224,0,0,0
1a.1,31.31940938,0.132478781,1.229,0,0,0
1a.1,31.46779284,0.129118812,1.235,0,0,0
1a.1,31.61585476,0.125758843,1.24,0,0,0
1a.1,31.76459625,0.122878869,1.245,0,0,0
1a.1,31.91401837,0.119998896,1.251,0,0,0
1a.1,32.06412221,0.117118922,1.256,0,0,0
1a.1,32.21490885,0.114238949,1.261,0,0,0
1a.1,32.36737934,0.111838971,1.266,0,0,0
1a.1,32.33559,0.109438993,1.271,0,0,0
1a.1,32.207131,0.107519011,1.276,0,0,0
1a.1,32.23596,0.105119033,1.281,0,0,0
1a.1,32.21817,0.10319905,1.286,0,0,0
1a.1,32.2278,0.101279068,1.291,0,0,0
