Conditions,flow_rate,precipitation,depth1,depth2,depth3,depth4
100a.1,27.00896,0,1.573,0,0,0
100a.1,27.31919539,0.0984687,1.572,0,0,0
100a.1,27.96029213,0.099828765,1.572,0,0,0
100a.1,28.61219351,0.10118883,1.572,0,0,0
100a.1,29.24086469,0.102548895,1.572,0,0,0
100a.1,29.85327205,0.104180973,1.572,0,0,0
100a.1,30.46238316,0.105541038,1.573,0,0,0
100a.1,31.07116673,0.107173116,1.575,0,0,0
100a.1,31.68159253,0.108805194,1.577,0,0,0
100a.1,32.29363132,0.110709285,1.58,0,0,0
100a.1,32.90725487,0.112341363,1.584,0,0,0
100a.1,33.52343587,0.114245454,1.588,0,0,0
100a.1,34.14214787,0.116149544,1.592,0,0,0
100a.1,34.7643653,0.118053635,1.598,0,0,0
100a.1,35.38906338,0.120229739,1.604,0,0,0
100a.1,36.01921812,0.122405843,1.61,0,0,0
100a.1,36.65280626,0.124581947,1.617,0,0,0
100a.1,37.29180526,0.126758051,1.625,0,0,0
100a.1,37.93819326,0.129206168,1.633,0,0,0
100a.1,38.59194906,0.131926298,1.642,0,0,0
100a.1,39.25605208,0.134646427,1.651,0,0,0
100a.1,39.93348236,0.137366557,1.661,0,0,0
100a.1,40.62822051,0.1403587,1.671,0,0,0
100a.1,41.34624771,0.143350843,1.682,0,0,0
100a.1,42.09754565,0.146887012,1.692,0,0,0
100a.1,42.90109658,0.150151168,1.703,0,0,0
100a.1,43.78888321,0.153959349,1.715,0,0,0
100a.1,44.83288876,0.157767531,1.726,0,0,0
100a.1,46.2310969,0.161847726,1.738,0,0,0
100a.1,48.91349174,0.166199934,1.751,0,0,0
100a.1,55.69605784,0.170824154,1.764,0,0,0
100a.1,62.07378015,0.175992401,1.778,0,0.001,0.001
100a.1,60.97264405,0.181160648,1.794,0,0.002,0.002
100a.1,57.2906353,0.18687292,1.813,0,0.002,0.002
100a.1,54.83074002,0.193129219,1.834,0,0.002,0.002
100a.1,53.4439447,0.199657531,1.856,0,0.003,0.003
100a.1,52.7722362,0.207001881,1.878,0,0.003,0.003
100a.1,52.53460169,0.214890258,1.898,0,0.003,0.003
100a.1,52.55802869,0.22332266,1.916,0,0.004,0.003
100a.1,52.73350503,0.232843115,1.933,0,0.004,0.003
100a.1,53.03601885,0.243179608,1.949,0,0.004,0.004
100a.1,53.40955857,0.254604154,1.964,0,0.004,0.004
100a.1,53.82811294,0.267660777,1.979,0,0.004,0.004
100a.1,54.27967094,0.282077465,1.993,0,0.005,0.004
100a.1,54.75422187,0.298398244,2.006,0,0.005,0.004
100a.1,55.24675525,0.31716714,2.02,0,0.005,0.004
100a.1,55.7532609,0.338928179,2.032,0,0.005,0.005
100a.1,56.27172884,0.364497399,2.045,0,0.005,0.005
100a.1,56.79914936,0.394690841,2.057,0,0.005,0.005
100a.1,57.33451299,0.431412594,2.069,0,0.005,0.005
100a.1,57.87681046,0.476566749,2.082,0,0.005,0.005
100a.1,58.42403275,0.534233502,2.094,0,0.005,0.005
100a.1,58.97617103,0.609853112,2.107,0,0.005,0.005
100a.1,59.5322167,0.714034085,2.119,0,0.005,0.005
100a.1,60.09216133,0.866633369,2.132,0,0.005,0.005
100a.1,60.65499673,1.111445055,2.144,0,0.005,0.005
100a.1,61.22071486,1.564890701,2.157,0,0.005,0.006
100a.1,61.7883079,2.66763134,2.169,0,0.005,0.006
100a.1,62.35876819,5.921722675,2.182,0,0.006,0.006
100a.1,62.93008825,3.923243277,2.194,0,0.006,0.006
100a.1,63.50426078,2.348016083,2.207,0,0.006,0.006
100a.1,64.07927864,1.665807518,2.22,0,0.006,0.006
100a.1,64.65613485,1.291517651,2.232,0,0.006,0.006
100a.1,65.23482259,1.057042458,2.245,0,0.006,0.006
100a.1,65.81433521,0.897098823,2.258,0,0.006,0.006
100a.1,66.39466619,0.780949279,2.271,0,0.006,0.006
100a.1,66.97680916,0.693089085,2.284,0,0.006,0.006
100a.1,67.5597579,0.6242698,2.297,0,0.006,0.006
100a.1,68.14450632,0.568779151,2.309,0,0.006,0.006
100a.1,68.72904849,0.523080969,2.322,0,0.006,0.006
100a.1,69.31537858,0.484999152,2.335,0,0.006,0.006
100a.1,69.9024909,0.452629606,2.347,0,0.006,0.006
