flow_rate,precipitation,depth1,depth2,depth3,depth4
12.21,0,0.864,0,0,0
12.32130181,0.058079465,0.861,0,0,0
12.54357224,0.059039457,0.861,0,0,0
12.76539989,0.059519452,0.861,0,0,0
12.98678654,0.060479443,0.86,0,0,0
13.20773393,0.061439435,0.86,0,0,0
13.42924381,0.062399426,0.86,0,0,0
13.64931788,0.063359417,0.86,0,0,0
13.86995789,0.064319408,0.86,0,0,0
14.08916554,0.065279399,0.861,0,0,0
14.30894252,0.06623939,0.861,0,0,0
14.52829053,0.067199382,0.862,0,0,0
14.74721124,0.068639368,0.862,0,0,0
14.96670633,0.069599359,0.863,0,0,0
15.18477744,0.071039346,0.864,0,0,0
15.40342624,0.071999337,0.866,0,0,0
15.62065437,0.073439324,0.867,0,0,0
15.83846344,0.074879311,0.869,0,0,0
16.05585509,0.076319298,0.87,0,0,0
16.27283093,0.077759284,0.872,0,0,0
16.48939255,0.079199271,0.874,0,0,0
16.70554155,0.081119253,0.876,0,0,0
16.92227952,0.08255924,0.879,0,0,0
17.13860803,0.084479223,0.881,0,0,0
17.35552865,0.086399205,0.884,0,0,0
17.57204293,0.088319187,0.886,0,0,0
17.79015242,0.090719165,0.889,0,0,0
18.00885866,0.093119143,0.892,0,0,0
18.23016317,0.095519121,0.896,0,0,0
18.4520675,0.097919099,0.899,0,0,0
18.67957313,0.100799072,0.902,0,0,0
18.91168159,0.103679046,0.906,0,0,0
19.14839436,0.107039015,0.909,0,0,0
19.39071293,0.110398984,0.913,0,0,0
19.63963878,0.113758953,0.917,0,0,0
19.89817339,0.117598918,0.921,0,0,0
20.16931822,0.121918878,0.926,0,0,0
20.46007471,0.126718834,0.93,0,0,0
20.77844432,0.13151879,0.934,0,0,0
21.13142848,0.137278737,0.939,0,0,0
21.52102863,0.143518679,0.944,0,0,0
21.94224619,0.150238617,0.948,0,0,0
22.37808256,0.157918547,0.953,0,0,0
22.80053917,0.166078472,0.958,0,0,0
23.1886174,0.175678383,0.964,0,0,0
23.53131865,0.187198277,0.969,0,0,0
23.8326443,0.199678162,0.975,0,0,0
24.09959573,0.214558025,0.98,0,0,0
24.3341743,0.232797858,0.986,0,0,0
24.53938138,0.254397659,0.992,0,0,0
24.72421831,0.280797416,0.999,0,0,0
24.89368646,0.314877102,1.005,0,0,0
25.05078714,0.359516691,1.012,0,0,0
25.19652171,0.420956126,1.018,0,0,0
25.33389147,0.5107153,1.024,0,0,0
25.46789775,0.65519397,1.031,0,0,0
25.60654185,0.92255151,1.037,0,0,0
25.75582509,1.572465529,1.043,0,0,0
25.91874875,3.490047881,1.05,0,0,0
26.09531412,2.312138721,1.056,0,0,0
26.28552249,1.383827265,1.062,0,0,0
26.48737513,0.981590966,1.068,0,0,0
26.6978733,0.761272994,1.075,0,0,0
26.91601828,0.623034266,1.081,0,0,0
27.13581131,0.528475136,1.087,0,0,0
27.35625365,0.460315764,1.093,0,0,0
27.57334653,0.408476241,1.1,0,0,0
27.78609119,0.368156612,1.106,0,0,0
27.99348885,0.335036917,1.112,0,0,0
28.19454075,0.308157164,1.118,0,0,0
28.39024809,0.286077367,1.124,0,0,0
28.57961209,0.266877544,1.13,0,0,0
28.76363394,0.250077699,1.136,0,0,0
28.94231484,0.235677831,1.142,0,0,0
29.11765598,0.223197946,1.148,0,0,0
29.28865856,0.212158048,1.154,0,0,0
29.45732373,0.20207814,1.16,0,0,0
29.62265268,0.192958224,1.166,0,0,0
29.78564658,0.184798299,1.172,0,0,0
29.94730657,0.177598366,1.178,0,0,0
30.10563382,0.170878427,1.184,0,0,0
30.26362946,0.164638485,1.19,0,0,0
30.41829465,0.158878538,1.195,0,0,0
30.57163052,0.153598586,1.201,0,0,0
30.7236382,0.148798631,1.207,0,0,0
30.87431881,0.14447867,1.212,0,0,0
31.02267347,0.14015871,1.218,0,0,0
31.17170329,0.136318745,1.224,0,0,0
31.31940938,0.132478781,1.229,0,0,0
31.46779284,0.129118812,1.235,0,0,0
31.61585476,0.125758843,1.24,0,0,0
31.76459625,0.122878869,1.245,0,0,0
31.91401837,0.119998896,1.251,0,0,0
32.06412221,0.117118922,1.256,0,0,0
32.21490885,0.114238949,1.261,0,0,0
32.36737934,0.111838971,1.266,0,0,0
32.33559,0.109438993,1.271,0,0,0
32.207131,0.107519011,1.276,0,0,0
32.23596,0.105119033,1.281,0,0,0
32.21817,0.10319905,1.286,0,0,0
32.2278,0.101279068,1.291,0,0,0
32.2572102,0.099359086,1.296,0,0,0
32.3171918,0.097439103,1.3,0,0,0
32.32983401,0.095999117,1.305,0,0,0
32.3603248,0.094079134,1.309,0,0,0
32.365431,0.092639147,1.313,0,0,0
32.58531744,0.091199161,1.317,0,0,0
32.90679306,0.089759174,1.321,0,0,0
33.23947883,0.088319187,1.324,0,0,0
33.58337878,0.0868792,1.328,0,0,0
33.9384776,0.085439214,1.332,0,0,0
34.30373975,0.084479223,1.335,0,0,0
34.68010872,0.083039236,1.339,0,0,0
35.06750632,0.082079245,1.343,0,0,0
35.46483188,0.080639258,1.347,0,0,0
35.87296167,0.079679267,1.351,0,0,0
36.29174825,0.078719276,1.355,0,0,0
36.72001988,0.077279289,1.359,0,0,0
37.15758005,0.076319298,1.364,0,0,0
37.60520699,0.075359306,1.368,0,0,0
38.06265328,0.074399315,1.373,0,0,0
38.52864555,0.073439324,1.378,0,0,0
39.00288421,0.072959329,1.383,0,0,0
39.48604326,0.071999337,1.389,0,0,0
39.97677021,0.071039346,1.394,0,0,0
40.47568603,0.070079355,1.4,0,0,0
40.98138524,0.069599359,1.406,0,0,0
41.49343604,0.068639368,1.412,0,0,0
42.01238055,0.067679377,1.419,0,0,0
42.53573514,0.067199382,1.425,0,0,0
43.06599083,0.06623939,1.432,0,0,0
43.59961384,0.065759395,1.439,0,0,0
44.13804615,0.064799404,1.446,0,0,0
44.67970625,0.064319408,1.453,0,0,0
45.22398988,0.063839412,1.461,0,0,0
45.77127097,0.062879421,1.468,0,0,0
46.31890259,0.062399426,1.476,0,0,0
46.86821807,0.06191943,1.484,0,0,0
47.41753209,0.061439435,1.493,0,0,0
47.96714203,0.060479443,1.501,0,0,0
48.51432927,0.059999448,1.51,0,0,0
49.06036058,0.059519452,1.518,0,0,0
49.60348972,0.059039457,1.527,0,0,0
49.32483503,0.058559461,1.536,0,0,0
49.59348972,0.058079465,1.545,0,0,0
49.86222957,0,1.554,0,0,0
50.12895893,0,1.564,0,0,0
50.39558153,0,1.573,0,0,0
50.66100065,0,1.582,0,0,0
50.92511908,0,1.59,0,0,0
51.18783923,0,1.599,0,0,0
51.44906317,0,1.607,0,0,0
51.70969269,0,1.616,0,0,0
51.96762938,0,1.624,0,0,0
52.22477462,0,1.632,0,0,0
52.47902974,0,1.64,0,0,0
52.73229601,0,1.648,0,0,0
52.98347471,0,1.656,0,0,0
53.23246724,0,1.664,0,0,0
53.4791751,0,1.672,0,0,0
53.72350003,0,1.679,0,0,0
53.96534405,0,1.686,0,0,0
54.20560949,0,1.693,0,0,0
54.44219911,0,1.7,0,0,0
54.67701611,0,1.707,0,0,0
54.90796424,0,1.713,0,0,0
55.13694784,0,1.72,0,0,0
55.36187191,0,1.726,0,0,0
55.58464216,0,1.732,0,0,0
55.80416512,0,1.739,0,0,0
56.02034813,0,1.745,0,0,0
56.23309949,0,1.751,0,0,0
56.44232845,0,1.756,0,0,0
56.64794533,0,1.762,0,0,0
56.84986154,0,1.768,0,0,0
57.04798967,0,1.773,0,0,0
57.24224353,0,1.779,0,0,0
57.43253823,0,1.784,0,0,0
57.61979026,0,1.79,0,0,0
57.8019175,0,1.795,0,0,0
57.97983929,0,1.8,0,0,0
58.15447656,0,1.805,0,0,0
58.32375177,0,1.81,0,0,0
58.48958907,0,1.815,0,0,0
58.6499143,0,1.82,0,0,0
58.80665505,0,1.825,0,0,0
58.95874076,0,1.83,0,0,0
59.1051027,0,1.834,0,0,0
59.24767406,0,1.839,0,0,0
59.38539002,0,1.844,0,0,0
59.51718776,0,1.848,0,0,0
59.64500653,0,1.852,0,0,0
59.76778768,0,1.856,0,0,0
59.88547473,0,1.861,0,0,0
59.99801338,0,1.865,0,0,0
60.10435159,0,1.869,0,0,0
60.20643957,0,1.872,0,0,0
60.30322988,0,1.876,0,0,0
60.3946774,0,1.88,0,0,0
60.48073943,0,1.884,0,0,0
60.56137566,0,1.887,0,0,0
60.63654824,0,1.89,0,0,0
60.70622182,0,1.894,0,0,0
60.77036354,0,1.897,0,0,0
60.82894308,0,1.9,0,0,0
60.88293266,0,1.903,0,0,0
60.93030711,0,1.906,0,0,0
60.97204384,0,1.909,0,0,0
61.00812286,0,1.912,0,0,0
61.03852685,0,1.914,0,0,0
61.06324111,0,1.917,0,0,0
61.08325358,0,1.919,0,0,0
61.09655491,0,1.922,0,0,0
61.10413839,0,1.924,0,0,0
61.106,0,1.926,0,0,0
61.10313839,0,1.928,0,0,0
61.09355491,0,1.93,0,0,0
61.07825358,0,1.932,0,0,0
61.05824111,0,1.934,0,0,0
61.03152685,0,1.935,0,0,0
60.99912286,0,1.937,0,0,0
60.96204384,0,1.938,0,0,0
60.91830711,0,1.94,0,0,0
60.86993266,0,1.941,0,0,0
60.81494308,0,1.942,0,0,0
60.75436354,0,1.943,0,0,0
60.68922182,0,1.944,0,0,0
60.61754824,0,1.945,0,0,0
60.54137566,0,1.946,0,0,0
60.45873943,0,1.947,0,0,0
60.3716774,0,1.947,0,0,0
60.27822988,0,1.948,0,0,0
60.18043957,0,1.948,0,0,0
60.07635159,0,1.949,0,0,0
59.96801338,0,1.949,0,0,0
59.85347473,0,1.949,0,0,0
59.73478768,0,1.949,0,0,0
59.61000653,0,1.949,0,0,0
59.48118776,0,1.949,0,0,0
59.34639002,0,1.948,0,0,0
59.20767406,0,1.948,0,0,0
59.0641027,0,1.948,0,0,0
58.91474076,0,1.947,0,0,0
58.76165505,0,1.946,0,0,0
58.6029143,0,1.946,0,0,0
58.44058907,0,1.945,0,0,0
58.27375177,0,1.944,0,0,0
58.10147656,0,1.943,0,0,0
57.92583929,0,1.942,0,0,0
57.7449175,0,1.94,0,0,0
57.56079026,0,1.939,0,0,0
57.37253823,0,1.938,0,0,0
57.17924353,0,1.936,0,0,0
56.98298967,0,1.935,0,0,0
56.78286154,0,1.933,0,0,0
56.57794533,0,1.931,0,0,0
56.37032845,0,1.93,0,0,0
56.15909949,0,1.928,0,0,0
55.94334813,0,1.926,0,0,0
55.72516512,0,1.924,0,0,0
55.50364216,0,1.921,0,0,0
55.27887191,0,1.919,0,0,0
55.04994784,0,1.917,0,0,0
54.81896424,0,1.915,0,0,0
54.58501611,0,1.912,0,0,0
54.34719911,0,1.91,0,0,0
54.10760949,0,1.907,0,0,0
53.86534405,0,1.904,0,0,0
53.62050003,0,1.902,0,0,0
53.3721751,0,1.899,0,0,0
53.12246724,0,1.896,0,0,0
52.87047471,0,1.893,0,0,0
52.61629601,0,1.89,0,0,0
52.35902974,0,1.887,0,0,0
52.10077462,0,1.884,0,0,0
51.84062938,0,1.88,0,0,0
51.57869269,0,1.877,0,0,0
51.31406317,0,1.874,0,0,0
51.04883923,0,1.87,0,0,0
50.78211908,0,1.867,0,0,0
50.51400065,0,1.863,0,0,0
50.24358153,0,1.86,0,0,0
49.97295893,0,1.856,0,0,0
49.70122957,0,1.852,0,0,0
49.42848972,0,1.849,0,0,0
49.15483503,0,1.845,0,0,0
48.87936058,0,1.841,0,0,0
48.60416077,0,1.837,0,0,0
48.32832927,0,1.833,0,0,0
48.05195899,0,1.829,0,0,0
47.77514203,0,1.825,0,0,0
47.49696963,0,1.821,0,0,0
47.21953209,0,1.817,0,0,0
46.94191878,0,1.813,0,0,0
46.66421807,0,1.809,0,0,0
46.38651726,0,1.804,0,0,0
46.10790259,0,1.8,0,0,0
45.83045918,0,1.796,0,0,0
45.55327097,0,1.792,0,0,0
45.2764207,0,1.788,0,0,0
44.99998988,0,1.783,0,0,0
44.72305875,0,1.779,0,0,0
44.44770625,0,1.774,0,0,0
44.17300997,0,1.77,0,0,0
43.89904615,0,1.766,0,0,0
43.62588963,0,1.761,0,0,0
43.35361384,0,1.757,0,0,0
43.08129073,0,1.752,0,0,0
42.81099083,0,1.748,0,0,0
42.54178313,0,1.743,0,0,0
42.27373514,0,1.739,0,0,0
42.00691281,0,1.734,0,0,0
41.74138055,0,1.729,0,0,0
41.47720121,0,1.725,0,0,0
41.21343604,0,1.72,0,0,0
40.9521447,0,1.715,0,0,0
40.69238524,0,1.711,0,0,0
40.43421409,0,1.706,0,0,0
40.17768603,0,1.701,0,0,0
39.92285424,0,1.697,0,0,0
39.66877021,0,1.692,0,0,0
39.41748382,0,1.687,0,0,0
39.16804326,0,1.683,0,0,0
38.9204951,0,1.678,0,0,0
38.67488421,0,1.673,0,0,0
38.43125384,0,1.669,0,0,0
38.18964555,0,1.664,0,0,0
37.95009927,0,1.659,0,0,0
37.71165328,0,1.654,0,0,0
37.47634419,0,1.65,0,0,0
37.24320699,0,1.645,0,0,0
37.01227503,0,1.64,0,0,0
36.78358005,0,1.635,0,0,0
36.55715216,0,1.63,0,0,0
36.33301988,0,1.626,0,0,0
36.11021013,0,1.621,0,0,0
35.89074825,0,1.616,0,0,0
35.67365802,0,1.611,0,0,0
35.45896167,0,1.606,0,0,0
35.2466799,0,1.601,0,0,0
35.03683188,0,1.597,0,0,0
34.82943528,0,1.592,0,0,0
34.62450632,0,1.587,0,0,0
34.4220597,0,1.582,0,0,0
34.22110872,0,1.578,0,0,0
34.02366525,0,1.573,0,0,0
33.82873975,0,1.568,0,0,0
33.63634129,0,1.564,0,0,0
33.4464776,0,1.559,0,0,0
33.25915507,0,1.555,0,0,0
33.07437878,0,1.55,0,0,0
32.89215253,0,1.546,0,0,0
32.71247883,0,1.541,0,0,0
32.53435898,0,1.537,0,0,0
32.35979306,0,1.532,0,0,0
32.18777997,0,1.528,0,0,0
32.01831744,0,1.524,0,0,0
31.85140206,0,1.519,0,0,0
31.68702935,0,1.515,0,0,0
31.5251937,0,1.511,0,0,0
31.3658885,0,1.506,0,0,0
31.20910607,0,1.502,0,0,0
31.05383776,0,1.498,0,0,0
30.90207396,0,1.494,0,0,0
30.75280408,0,1.49,0,0,0
30.60601667,0,1.486,0,0,0
30.46169934,0,1.482,0,0,0
30.3198389,0,1.478,0,0,0
30.18042129,0,1.474,0,0,0
30.04343167,0,1.47,0,0,0
29.90885443,0,1.466,0,0,0
29.7766732,0,1.462,0,0,0
29.6468709,0,1.458,0,0,0
29.51842979,0,1.454,0,0,0
29.39333142,0,1.451,0,0,0
29.27055676,0,1.447,0,0,0
29.15008614,0,1.443,0,0,0
29.03189931,0,1.44,0,0,0
28.9159755,0,1.436,0,0,0
28.80229338,0,1.432,0,0,0
28.69083114,0,1.429,0,0,0
28.58156651,0,1.425,0,0,0
28.47447674,0,1.422,0,0,0
28.36953869,0,1.419,0,0,0
28.26572882,0,1.415,0,0,0
28.16502319,0,1.412,0,0,0
28.06639756,0,1.409,0,0,0
27.96982733,0,1.405,0,0,0
27.87528761,0,1.402,0,0,0
27.78275326,0,1.399,0,0,0
27.69219885,0,1.396,0,0,0
27.60359874,0,1.393,0,0,0
27.51692708,0,1.39,0,0,0
27.43215784,0,1.387,0,0,0
27.3492648,0,1.384,0,0,0
27.26822164,0,1.381,0,0,0
27.18800186,0,1.378,0,0,0
27.11057891,0,1.375,0,0,0
27.03492611,0,1.372,0,0,0
26.96101674,0,1.369,0,0,0
26.88882402,0,1.366,0,0,0
26.81832115,0,1.364,0,0,0
26.74948131,0,1.361,0,0,0
26.68227769,0,1.358,0,0,0
26.61668349,0,1.356,0,0,0
26.55267195,0,1.353,0,0,0
26.49021636,0,1.351,0,0,0
26.4292901,0,1.348,0,0,0
26.36986659,0,1.346,0,0,0
26.31091938,0,1.343,0,0,0
26.25442211,0,1.341,0,0,0
26.19934855,0,1.338,0,0,0
26.1456726,0,1.336,0,0,0
26.09336831,0,1.334,0,0,0
26.04240988,0,1.331,0,0,0
25.99277168,0,1.329,0,0,0
25.94442827,0,1.327,0,0,0
25.89735438,0,1.324,0,0,0
25.85152497,0,1.322,0,0,0
25.80691517,0,1.32,0,0,0
25.76350035,0,1.318,0,0,0
25.72125611,0,1.316,0,0,0
25.68015827,0,1.314,0,0,0
25.64018289,0,1.312,0,0,0
25.60030628,0,1.31,0,0,0
25.56250502,0,1.308,0,0,0
25.52575593,0,1.306,0,0,0
25.4900361,0,1.304,0,0,0
25.4553229,0,1.303,0,0,0
25.42159397,0,1.301,0,0,0
25.38882724,0,1.299,0,0,0
24.432,0,1.297,0,0,0
17.26,0,1.028,0,0,0
17.41733572,0.058079465,1.027,0,0,0
17.73153618,0.059039457,1.027,0,0,0
18.04511074,0.059519452,1.026,0,0,0
18.3580619,0.060479443,1.026,0,0,0
18.67039211,0.061439435,1.026,0,0,0
18.98310386,0.062399426,1.026,0,0,0
19.29419957,0.063359417,1.026,0,0,0
19.60568167,0.064319408,1.027,0,0,0
19.9155526,0.065279399,1.027,0,0,0
