Conditions,flow_rate,precipitation,depth1,depth2,depth3,depth4
a,46.67018,0,1.711,0,0,0
a,47.19387661,0.0984687,1.711,0,0,0
a,48.26235146,0.099828765,1.711,0,0,0
a,49.34221669,0.10118883,1.711,0,0,0
a,50.39941208,0.102548895,1.711,0,0,0
a,51.44087956,0.104180973,1.712,0,0,0
a,52.4795631,0.105541038,1.714,0,0,0
a,53.51840862,0.107173116,1.716,0,0,0
a,54.55936385,0.108805194,1.718,0,0,0
a,55.60237833,0.110709285,1.722,0,0,0
a,56.64740324,0.112341363,1.726,0,0,0
a,57.69539138,0.114245454,1.731,0,0,0
a,58.74629709,0.116149544,1.737,0,0,0
a,59.80107614,0.118053635,1.743,0,0,0
a,60.85868574,0.120229739,1.75,0,0,0
a,61.92208442,0.122405843,1.757,0,0,0
a,62.98923199,0.124581947,1.765,0,0,0
a,64.06208951,0.126758051,1.774,0,0,0
a,65.14261921,0.129206168,1.783,0,0,0
a,66.23078444,0.131926298,1.793,0,0,0
a,67.32954967,0.134646427,1.803,0,0,0
a,68.44188037,0.137366557,1.814,0,0,0
a,69.57174306,0.1403587,1.825,0,0,0
a,70.7251052,0.143350843,1.837,0,0,0
a,71.91193519,0.146887012,1.849,0,0,0
a,73.15120232,0.150151168,1.862,0,0,0
a,74.47487674,0.153959349,1.875,0,0,0
a,75.95492943,0.157767531,1.889,0,0,0
a,77.78933219,0.161847726,1.903,0,0,0
a,80.90805756,0.166199934,1.917,0,0,0
a,88.12707885,0.170824154,1.933,0,0,0
a,94.94137008,0.175992401,1.949,0,0.001,0.001
a,94.27690597,0.181160648,1.967,0,0.002,0.002
a,91.03166189,0.18687292,1.989,0,0.002,0.002
a,89.0086139,0.193129219,2.013,0,0.002,0.002
a,88.05873864,0.199657531,2.036,0,0.003,0.003
a,87.82401339,0.207001881,2.059,0,0.003,0.003
a,88.02341601,0.214890258,2.079,0,0.003,0.003
a,88.4839249,0.22332266,2.098,0,0.004,0.003
a,89.09651905,0.232843115,2.116,0,0.004,0.004
a,89.83617795,0.243179608,2.133,0,0.004,0.004
a,90.64688163,0.254604154,2.148,0,0.004,0.004
a,91.5026106,0.267660777,2.163,0,0.004,0.004
a,92.39134586,0.282077465,2.178,0,0.005,0.004
a,93.30306889,0.298398244,2.192,0,0.005,0.004
a,94.23276161,0.31716714,2.206,0,0.005,0.004
a,95.17640639,0.338928179,2.22,0,0.005,0.005
a,96.13198603,0.364497399,2.234,0,0.005,0.005
a,97.09648373,0.394690841,2.248,0,0.005,0.005
a,98.06888312,0.431412594,2.262,0,0.005,0.005
a,99.0481682,0.476566749,2.276,0,0.005,0.005
a,100.0323234,0.534233502,2.29,0,0.005,0.005
a,101.0213334,0.609853112,2.304,0,0.005,0.005
a,102.0141833,0.714034085,2.318,0,0.005,0.005
a,103.0108587,0.866633369,2.332,0,0.005,0.005
a,104.0103453,1.111445055,2.346,0,0.005,0.006
a,105.0126293,1.564890701,2.359,0,0.005,0.006
a,106.0166972,2.66763134,2.373,0,0.005,0.006
a,107.0235357,5.921722675,2.386,0,0.006,0.006
a,108.0311318,3.923243277,2.4,0,0.006,0.006
a,109.041473,2.348016083,2.413,0,0.006,0.006
a,110.052547,1.665807518,2.427,0,0.006,0.006
a,111.0653416,1.291517651,2.44,0,0.006,0.006
a,112.0798452,1.057042458,2.454,0,0.006,0.006
a,113.0950461,0.897098823,2.467,0,0.006,0.006
a,114.1109332,0.780949279,2.481,0,0.006,0.006
a,115.1284954,0.693089085,2.494,0,0.006,0.006
a,116.146722,0.6242698,2.508,0,0.006,0.006
a,117.1666024,0.568779151,2.522,0,0.006,0.006
a,118.1861264,0.523080969,2.535,0,0.006,0.006
a,119.207284,0.484999152,2.549,0,0.006,0.006
a,120.2290653,0.452629606,2.563,0,0.006,0.006
a,121.2514607,0.424612269,2.576,0,0.006,0.006
a,122.2134608,0.4001311,2.59,0,0.006,0.006
a,123.0470565,0.378642075,2.603,0,0.006,0.006
a,123.8572386,0.359873179,2.617,0,0.005,0.006
a,124.7649986,0.342736361,2.63,0,0.005,0.006
a,125.7463276,0.327503633,2.643,0,0.005,0.006
a,126.7582175,0.313902984,2.656,0,0.005,0.006
a,127.7826598,0.301390387,2.669,0,0.005,0.006
a,128.8126467,0.289965842,2.682,0,0.005,0.006
a,129.8441701,0.279357335,2.695,0,0.005,0.006
a,130.8772225,0.269836881,2.707,0,0.005,0.006
a,131.9107962,0.260860452,2.719,0,0.005,0.005
a,132.942884,0.252700063,2.732,0,0.005,0.005
a,133.9744786,0.245083699,2.744,0,0.005,0.005
a,135.005573,0.237739349,2.757,0,0.005,0.005
a,136.0361602,0.231211037,2.769,0.024,0.005,0.005
a,137.0652336,0.224954738,2.781,0.07,0.004,0.005
a,138.0937865,0.218970453,2.792,0.117,0.004,0.005
a,139.1208124,0.213530193,2.804,0.167,0.004,0.005
a,140.1473051,0.208089933,2.815,0.215,0.004,0.005
a,141.1732584,0.2031937,2.825,0.259,0.004,0.005
a,142.1976662,0.198569479,2.835,0.3,0.004,0.005
a,143.2215226,0.194217271,2.845,0.338,0.004,0.005
a,144.2448218,0.189865063,2.854,0.374,0.004,0.005
a,144.2588601,0.186056881,2.862,0.392,0.004,0.005
a,143.735735,0.1822487,2.87,0.393,0.004,0.005
a,144.0634095,0.178440518,2.878,0.403,0.004,0.005
a,144.1308881,0.174904349,2.885,0.412,0.004,0.005
a,144.3313535,0.171640193,2.891,0.421,0.004,0.005
a,144.6386163,0.16864805,2.896,0.432,0.004,0.005
a,145.1027027,0.165383895,2.901,0.445,0.004,0.005
a,145.3024484,0.162663765,2.906,0.455,0.004,0.004
a,145.5876651,0.159671622,2.91,0.464,0.004,0.004
a,145.7355024,0.157223505,2.914,0.471,0.004,0.004
a,147.0493492,0.154503375,2.917,0.493,0.004,0.004
a,148.9154708,0.152055258,2.92,0.526,0.004,0.004
a,150.8413383,0.149607142,2.923,0.56,0.004,0.004
a,152.8272843,0.147431038,2.926,0.593,0.004,0.004
a,154.873539,0.144982921,2.929,0.626,0.004,0.004
a,156.9792248,0.14307883,2.931,0.657,0.004,0.004
a,159.1453505,0.140902726,2.934,0.686,0.004,0.004
a,161.3728053,0.138998635,2.937,0.714,0.004,0.004
a,163.6593533,0.136822531,2.94,0.742,0.003,0.004
a,166.0056278,0.13491844,2.942,0.769,0.003,0.004
a,168.4111266,0.133286362,2.945,0.793,0.003,0.004
a,170.8742061,0.131382272,2.947,0.807,0.003,0.004
a,173.3960767,0.129750194,2.95,0.832,0.003,0.004
a,175.9747986,0.128118116,2.952,0.852,0.003,0.004
a,178.6092768,0.126486038,2.954,0.868,0.003,0.004
a,181.2982575,0.12485396,2.955,0.899,0.003,0.004
a,184.0393247,0.123493895,2.957,0.91,0.003,0.004
